title,Element number,NIH Value,Element title,Generated Content
Genomic data from a non-human source,element_3,We will use the standards that are adopted or defined by NeMO.,,
Secondary data analysis,element_3,"The data that will be used for some of the proposed secondary data analysis is already in NDA and is formatted 
using NDA data dictionaries. The new data we will deposit will also use existing NDA data dictionaries. Since 
the data set to be deposited into NDA was collected prior to the publication of NOT-MH-20-067, not all of the 
common data elements expected by NIMH are available. However, we will transform some existing demographic 
and clinical data into the formats expected for:
1) Age (ndar_subject01)
2) Sex at Birth (ndar_subject01)
3) Patient Health Questionnaire-9 (PHQ-9, cde_phq901 NDA data dictionary).
In addition, information from the Beck Depression Inventory will be deposited for all 155 research participants 
using the NDA bdi01 data dictionary. Deposited images will use the NDA image03 data dictionary. Data derived 
from the MRI images will be deposited into NDA using the imagingcollection01 data dictionary.",,
Human clinical and genomics data,element_3,"Data will be standardized to CDISC format whenever possible. Medical laboratory data will be 
standardized using LOINC. Shared data will be deidentified, and original data will be maintained at the 
investigator’s institution. This research project will use the Pediatric and Pregnancy-related COVID 
Common Data Elements available via the Disaster Research Response (DR2) Resources Portal and 
the NIH Common Data Elements Repository, as required by the FOA. Genomic data will be in CRAM 
format with alignment to latest reference genome and variant files in VCF format.",,
Gene expression analysis data from non-human model organism (zebrafish),element_3,"ranscriptional profiling data and open chromatin analysis (from RNA-seq and ATAC-seq data 
respectively): The GEO submission procedure is aligned to the MINSEQE (Minimum Information About 
a Next-generation Sequencing Experiment) guidelines which outline the minimum information that 
should be included when describing a sequencing study. SRA will provide internationally recognized 
project, study, sample, and experimental accession identifiers upon data submission to the repository.
In situ hybridization data: ZFIN requires that all data submitted to the repository have a minimum set of 
available information (metadata) that describes the data, including Genes/Markers, Figures, 
Expression, Phenotype, Mutation and Transgenics, Sequence Targeting Reagents, Fish, Antibodies, 
Orthology, Engineered Foreign Genes, Mapping, Errata and Notes. Relevant metadata will be 
submitted to ZFIN per the repository requirement.",,
Human survey data,element_3,"To facilitate data use, the study will use standard processing and documentation protocols adopted by
the Inter-university Consortium for Political and Social Research (ICPSR) for data formats and 
dictionaries as well as for variable names, descriptions, and labels. 
Variable descriptions include a brief explanation of the questionnaire item content or of the constructed 
measure. Value labels tie individual numeric response codes to descriptive responses from the 
questionnaire.
Coding of the time diaries will use time-use codes directly comparable to those used in the American 
Time Use Survey, which is the benchmark US survey for information on time use. Experienced coders 
will edit the time diaries and code each activity.
Survey interview questions will be primarily based on the Panel Study of Income Dynamics (PSID). 
Demographic, economic, and relationship questions will be based on Office of Management and 
Budget (OMB) standards.",,
Clinical Data from Human Research Participants,element_3,"Participant age, sex, ethnicity, height, weight, socioeconomic status, and dialysis data will be collected using the 
common data elements (CDEs) from the National Institutes of Health (NIH) CDE Repository. 
(1) Demographics (NLM ID: Xyc4G1BHte) 
(2) Standing Height (NLM ID: gaz3k9xh1da) 
(3) Weight (NLM ID: lLbYoUaBc) 
(4) Socioeconomic Status (NLM ID: 7kpJeKE7P) 
(5) Dialysis (NLM ID: 71WP2zp2ox) ",,
Human genomic data,element_3,"All data generated through the project will adhere to established community standards where applicable, ensuring interoperability, reproducibility, and alignment with FAIR data principles.

Human array-derived genotype data will be formatted in Variant Call Format (VCF) to capture genotypic variation in a standardized, widely accepted structure.

30x whole-genome sequencing (WGS) data will be processed and shared using two formats:

CRAM for compressed sequence data storage

VCF for representing variant calls

RNA-seq data will be processed following the ENCODE Bulk RNA-seq Data Standards, which include rigorous quality control and alignment procedures. Shared files will include:

FASTQ (raw sequence reads)

BAM (aligned sequence files)

TSV (quantified transcript expression levels)

Hi-C WGS data will be shared as FASTQ files, enabling downstream analysis of 3D genome organization.

Demographic, phenotypic, and clinical data will be standardized using the following terminologies and models:

PhenX for survey-based phenotypic measures

RxNorm for medication coding

PCORnet Common Data Model (CDM) derived from OMOP for structured EHR data

Current Procedural Terminology (CPT), Logical Observation Identifiers Names and Codes (LOINC), and ICD-10 codes for representing procedures, lab tests, and diagnoses, respectively

Study protocols will be captured in a customized, non-standard format, to be developed specifically for this project to support reproducibility and documentation.",,
Technology development,element_3,"All data generated in this study will follow established community standards and formats where applicable to ensure interoperability and support data sharing:

Nanopore sequence data will be provided in the FAST5 format, which includes raw signal-level data suitable for downstream basecalling and quality control.

30x whole-genome sequencing (WGS) data will be processed and shared in:

CRAM format for compressed sequencing reads

VCF format for variant calls

RNA sequencing (RNA-seq) data will be analyzed following the ENCODE Bulk RNA-seq Data Standards, including quality control and standardized workflows. The following file types will be shared:

FASTQ files (raw reads)

BAM files (aligned reads)

TSV files (transcript quantifications)

Study protocols will be documented in a customized, non-standard format developed specifically for this project, to support transparency and reproducibility.",,
Basic Research from a Non-Human Source Example,element_3,"Mouse anatomical and developmental descriptions will use language specified by the mouse adult gross anatomy ontology and the mouse 
developmental stages ontology available from the EMBL-EBI Ontology Lookup Service. The Animal History common data elements (CDE) 
from the National Institutes of Health (NIH) CDE repository will be used to record relevant information about mouse subjects. Community 
standard file formats will be provided, including FASTQ files for RNA-sequencing files results, spreadsheets for normalized gene 
expression counts, .TIFF files for microscopy imaging, and tab-separated spreadsheets for clinical measures and phenotypic outcomes. ",,
Secondary Data Analysis Example,element_3,"The data that will be used for the proposed secondary data analysis is already available on the dbGaP. The documentation for the 
generation of the data is also available. The estimated kidney length and volumes will be reported in the community standard of 
centimeters and milliliters. ",,
Survey and Interview Example,element_3,"The study will use standard processing and documentation protocols adopted by the Inter-university Consortium for 
Political and Social Research (ICPSR) for data formats, dictionaries, variable names, descriptions, and labels. An XML
schema using Data Documenting Initiative standards will also be used for codebooks and other metadata as appropriate Raw and recoded individual-level survey data will be shared in character-delimited ASCII files, a widely accepted format compatible with most statistical and data analysis software.

Aggregate survey data will also be provided as character-delimited ASCII files, facilitating broader reuse and comparative analysis.

Voice recordings will not be shared. Original WAV files will be deleted after transcription to protect participant confidentiality.

Deidentified and coded interview transcripts will be provided as plain text files, optimized for use with qualitative data analysis tools. These files will include line numbers and time codes to support systematic coding and review.

Metadata will be provided in multiple formats:

PDFs for human-readable summaries and documentation

DDI-standard XML files for structured metadata and codebooks

Customized (non-standard) formats, where appropriate, to accommodate project-specific needs",,
Human Clinical Trial Data,element_3,"Raw data will be standardized to CDISC (Clinical Data Interchange Standards Consortium) format 
whenever possible. Medical laboratory data will be standardized using LOINC whenever possible. 
This research project will use relevant Common Data Elements from the NIH Common Data Elements 
Repository for data collection and relevant Medical Imaging and Data Resource Center (MIDRC) 
Commons dictionary for imaging data. 
File formats for each data type are described in Element 1A.",,
Clinical data from human research participants-NIA,element_3,"State what common data standards will be applied to the scientific data and associated metadata to 
enable interoperability of datasets and resources and provide the name(s) of the data standards that will 
be applied and describe how these data standards will be applied to the scientific data generated by the 
research proposed in this project. If applicable, indicate that no consensus standards exist.
Clinical and laboratory data will be standardized using LOINC. ICD-10 code lists will be shared to 
facilitate implementation of shared codes.",,
"Survey, interview, and biological data (tiered access)",element_3,"Codebooks will be provided in Data Documentation Initiative (DDI) format. DDI is an internationally 
recognized metadata standard for documenting survey data used by hundreds of research 
organizations.",,
Non-human data (primates),element_3,"No consensus standards exist for the data to be collected and shared. We will create a data dictionary 
that will be posted with the dataset, detailing variable definitions and how data were generated using 
DDI Codebook, an established, internationally recognized metadata standard.",,
Secondary data analysis-NIA,element_3,"Data, documentation, and metadata for the primary data is available through the repository of origin. 
Analysis code, measures and scales created as part of the project using the data of origin will be 
shared as metadata elements",,
Survey and interview data-NIA,element_3,"Metadata will conform to DataCite, DDI, or other established metadata standards. Common data 
elements as defined by National Library of Medicine (NLM) will be used whenever practical. ",,
Human clinical and genomic data-NIA,element_3,"Data will be submitted using the following data standards outlined by NIAGADS:
• Phenotype Data Files: will use tab-delimited plain text (.txt) or excel (.xls/.xlsx) file formats along 
with a data dictionary listing each variable and their description.
• Pedigree Data Files: will use tab-delimited plain text (.txt) or excel (.xls/.xlsx) file formats following 
the standard pedigree file format. Standard labels for the following fields will be: FAMID (family ID), 
SUBJID (subject ID), FATHER (father ID), MOTHER (mother ID), SEX (1 for male and 2 for 
female).
2 
• Genotype or genetic mapping data: will be submitted in plain text files in the genetic pedigree file 
format. PLINK (.ped and .map files) or MERLIN pedigree formats (.ped, .map, and .dat files) will be 
used. 
• Next Generation Sequencing Data: Call reads prior to QA/QC will be in FASTQ format, compressed 
using gzip or bzip2 program. Mapped reads will be in BAM format. Called variants will be in VCF.",,
Non-human data (rodents)-NIA,element_3,"The Neurodata Without Borders (NWB) data standard will be applied to all electrophysiological, 
behavioral, and immunohistochemical data designated for sharing. For each experimental session, all 
raw and processed electrophysiological, behavioral, and imaging data and metadata associated with 
the session will be written hierarchically into a single .nwb file",,
Clinical data (human biospecimens),element_3,"In compliance with the National Institutes of Health (NIH) Common Data Elements Repository, clinical 
data will be collected using the appropriate instruments for the initial and follow-up visits.
In compliance with NIA’s Clinical Research Operations & Management System (CROMS), monthly 
study records will be reported to CROMS and will be consistent with standardized formats using the 
follow instruments:",,
Drug discovery including intellectual property,element_3,"All preclinical efficacy testing studies will be conducted and reported in compliance with NIH guidance on 
rigor and reproducibility. Particularly, the preclinical efficacy studies will follow the general ARRIVE 
guidelines for animal research and the best practice guidelines for AD preclinical efficacy studies",,
HeLa Cell Whole Genome Sequence (DNA or RNA),element_3,HiFi long-read whole-genome/ sequencing data FASTQ,,
Secondary Data Analysis on Data from Human Subjects-NIA,element_3,"proposed in this project. If applicable, indicate that no consensus standards exist.
Images from the OASIS and BLSA databases will be downloaded and inspected for acceptable quality (little 
motion, spikes, artifacts). The secondary data analysis will use the Brain Imaging Data Structure (BIDS) 
standard that provides methods to create BIDS-compliant datasets and to validate converted data 
structures",,
Analysis of social media posts,element_3,"To facilitate data use, standard processing and documentation protocols adopted by the 
Inter-university Consortium for Political and Social Research (ICPSR) will be used for data 
formats and dictionaries as well as for variable names, descriptions, and labels.",,
Clinical and MRI data from human research participants,element_4a,All data will be deposited to NDA starting 12 months after the award begins and will be deposited every six months thereafter following the usual NDA data submission dates.,"2. **Scientific data that will be preserved and shared, and the rationale for doing so:**","All de-identified demographic, clinical, and imaging data (structural MRI, fMRI, and ^1H fMRS) will be preserved and shared. Sharing these data will facilitate secondary analyses, promote transparency and reproducibility, and enable data aggregation across studies in alignment with NIMH and NIH data sharing policies. Only data necessary to generate the NIMH Data Archive (NDA) global unique identifier (GUID) will be retained for participant identification within the repository."
Genomic data from human research participants,element_4a,"All data will be deposited to NDA starting 12 months after the award begins and will be deposited every six 
months thereafter following the usual NDA data submission dates. ","2. **Scientific data that will be preserved and shared, and the rationale for doing so:**","All raw WGS data, processed genomic data (e.g., VCFs), and corresponding phenotypic and clinical data will be preserved and shared. This includes all data necessary to reproduce primary findings and enable secondary analyses by other investigators. Data sharing is in accordance with NIH and NIMH policies to maximize the utility and impact of collected data, facilitate reproducibility, and support broad scientific discovery."
Genomic data from a non-human source,element_4a,"Mouse single-cell datasets: All single-cell epigenomics and transcriptomics data will made available through 
NeMO after initial data processing. 
Human single cell data will be deposited to NeMO. 
Upon publication we will host processed data matrixes and associated metadata as compressed downloadable 
archives at NeMO and, when appropriate, as supplementary information in journal publications. 
We will release datasets associated with the technological advances proposed in the application once protocols 
are established and initial analysis performed, at which point data will be released along with a preprint prior to 
manuscript submission. ","2. **Scientific data that will be preserved and shared, and the rationale for doing so:**","The following data will be preserved and shared:  
   - Processed cell-by-feature matrices for each modality (ATAC-seq, RNA-seq, DNA methylation)  
   - Associated cell-level metadata tables  
   - Raw sequencing data (FASTQ files)  
   - Data processing scripts and pipelines  
   Sharing these datasets will facilitate reproducibility, enable secondary analyses by the research community, and support collaborative efforts in mapping brain development. Raw data will be preserved to enable reprocessing with future methods."
Secondary data analysis,element_4a,All previously unshared data will be deposited to NDA no later than 12 months after the award begins. ,"2. **Scientific data that will be preserved and shared, and the rationale for doing so:**","All structural MRI images and corresponding clinical assessment data generated or used in the project will be preserved and shared. This includes the previously unshared dataset from 155 participants, which will be deposited to the NIMH Data Archive (NDA). The rationale is to maximize scientific transparency, reproducibility, and reuse by the research community, in accordance with NIH and NIMH policies and in recognition of the value of sharing both neuroimaging and clinical data to advance mental health research."
Human clinical and genomics data,element_4a,"DASH (Clinical and laboratory data); dbGaP/Sequence Read Archive (SRA, Genomic data)","2. **Scientific data that will be preserved and shared, and the rationale for doing so:**","All individual-level, de-identified clinical data (including data from case report forms), research laboratory data, and genomic data will be preserved and shared. This includes longitudinal clinical data, immunoassay results, and genomic data (WES, WGS, and methylation arrays). The rationale is to maximize the utility and reproducibility of the data, facilitate secondary research, and comply with NIH and NICHD data sharing policies. All participants will provide informed consent for broad data sharing."
Gene expression analysis data from non-human model organism (zebrafish),element_4a,"The expression data will be shared through the GEO and the bulk RNA-seq, scRNA-seq and ATAC-seq 
fastq files will be shared in the SRA data repository. GEO will manage deposition of the raw fastq files 
to SRA. 
The in-situ hybridization data will be shared through the ZFIN data repository and knowledgebase.","2. **Scientific data that will be preserved and shared, and the rationale for doing so:**","The following data will be preserved and shared:
   - All raw sequencing data (bulk RNA-seq, scRNA-seq, ATAC-seq fastq files) to enable reproducibility and facilitate downstream analyses by other researchers.
   - Processed data files (gene expression matrices, clustering assignments, open chromatin region files) to expedite data reuse and integration.
   - In situ hybridization image files, which provide essential spatial and phenotypic context.
   - Metadata and protocols to ensure data interpretability.
   Sharing these data types aligns with NIH policies, supports transparency, and enables secondary analysis within the community."
Human survey data,element_4a,"Public use and restricted access study data and associated documentation will be made available to 
the research community free of charge through the Data Sharing for Demographic Research (DSDR) 
data repository hosted at ICPSR.","2. **Scientific data that will be preserved and shared, and the rationale for doing so:**","The preserved and shared data will include all de-identified, participant-level data from the survey interviews, child time diaries, recoded variables, scale composites, and linked contextual and school data, consistent with the informed consent for broad data sharing. Data sharing of these elements will allow for secondary analyses, replication, and meta-analytic studies while supporting open science and NICHD’s mission. Direct identifiers and any potentially re-identifiable data will be excluded in order to protect participant privacy."
Clinical Data from Human Research Participants,element_4a,"The study data will be submitted to a generalist repository that is participating in the NIH Generalist Repository 
Ecosystem Initiative, Vivli. The National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK) Central 
Repository currently accepts datasets only from NIDDK-funded, large, multi-site clinical consortia and not R01
studies. No NIH or domain-specific repositories for “renal disease” or “renal dialysis” were found. This study will not 
generate genomics data, so data will not be submitted to the database of Genotypes and Phenotypes. Therefore, a 
generalist repository seems like the most appropriate location to deposit the data. ","2. **Scientific data that will be preserved and shared, and the rationale for doing so:**","All de-identified, individual-level data for demographics, laboratory results, clinical observations, and clinical disposition will be preserved and shared. The rationale is to maximize scientific value and reproducibility, in accordance with NIH and NIDDK data sharing expectations, and because all participants will provide informed consent for broad data sharing."
Human genomic data,element_4a,"The primary data repository for this study will be the NHGRI Analysis, Visualization, and Informatics Lab-Space 
(AnVIL). 
Protocols related to donor recruitment, tissue collection/preservation/biobanking, pathology/tissue dissection, 
whole-genome sequencing, and data processing and analysis will also be openly available on the website
protocols.io and/or on the project website at the time of data release.","2. **Scientific data that will be preserved and shared, and the rationale for doing so:**","All primary genomic, transcriptomic, and clinical datasets listed above will be preserved and shared, including: raw and processed genotype data, WGS data (raw FASTQ, aligned BAM/CRAM files, and variant calls), RNA-seq data (raw and processed count files), Hi-C data (raw and processed contact maps), and associated phenotypic/clinical/demographic data. The rationale is to maximize the utility and reproducibility of the research, facilitate secondary analyses, and comply with NIH and NHGRI data sharing policies. Data will be shared broadly, consistent with participants’ consent for broad data sharing."
Technology development,element_4a,"The NHGRI Analysis, Visualization, and Informatics Lab-Space (AnVIL). ","2. **Scientific data that will be preserved and shared, and the rationale for doing so:**","All generated raw and processed sequencing data—including FASTQ (raw reads), BAM/CRAM (aligned reads), VCF (variant calls), and gene expression matrices—will be preserved and shared. Sharing these data supports reproducibility, enables secondary analyses by the scientific community, and aligns with NHGRI and NIH policies promoting broad data sharing for human genomic data."
Basic Research from a Non-Human Source Example,element_4a,"Transcriptomic datasets that can be shared will be deposited in Gene Expression Omnibus (GEO, National Center for Biotechnology 
Information [NCBI]). Clinical and phenotypic datasets will be associated with the RNAseq submission to GEO. GEO is an NIH-supported 
repository that archives and freely distributes microarray and next-generation sequencing data. Light and confocal microscopy images of 
liver tissue will be made available at The Cancer Imaging Archive (TCIA), which is an NIH-supported Scientific Data Repository. TCIA accepts radiology and microscopy imaging data related to cancer generated with any NIH institute funding. It currently houses many 
datasets on liver cancer. ","2. **Scientific data that will be preserved and shared, and the rationale for doing so:**","All three datasets—clinical/phenotypic data, RNA-seq data (raw and processed), and microscopy images—will be preserved and shared. Sharing these datasets will allow for validation and reproducibility of findings, facilitate secondary analyses by other researchers (e.g., meta-analyses, re-analysis, or integration with other NASH/HCC datasets), and accelerate scientific discovery in liver disease and cancer research."
Secondary Data Analysis Example,element_4a,"Estimated kidney volumes will be made available within the dbGaP as a sub-study. Identified study metadata will be supplied in the 
associated publication supplement as well as a supporting document in the dbGaP sub-study. ","2. **Scientific data that will be preserved and shared, and the rationale for doing so:**","The primary scientific data to be preserved and shared is the derived clinical dataset of estimated kidney volumes along with associated de-identified demographic and clinical variables. The rationale for preserving and sharing these data is to enable reproducibility of the results, facilitate secondary analyses by other investigators, and advance research in kidney disease phenotyping. The original MRI images are not generated by this project and are already available in dbGaP; thus, only the derived data will be generated and shared."
Survey and Interview Example,element_4a,"All shared study materials, data, and metadata will be made publicly available through the Analysis, Visualization, and 
Informatics Lab-space (AnVIL). Funds have been requested in this grant budget to support data curation and deposition. 
Details are found in the budget justification. ","2. **Scientific data that will be preserved and shared, and the rationale for doing so:**","The following scientific data will be preserved and shared:
   - Deidentified, raw and recoded survey datasets, including open-ended text responses after review for privacy risks and appropriate redaction.
   - Final codebooks and coding summary files for qualitative analyses.
   - Deidentified, verbatim interview transcripts (raw audio will not be shared to further protect privacy).
   Data will be preserved and shared to maximize scientific value, promote reproducibility, and comply with NIH and NHGRI data sharing policies, while protecting participant privacy and any proprietary content."
Human Clinical Trial Data,element_4a,"DASH (clinical and laboratory data)
Medical Imaging and Data Resource Center (MIDRC) (clinical imaging)","2. **Scientific data that will be preserved and shared, and the rationale for doing so:**","All deidentified, participant-level clinical, laboratory, and outcome data, as well as all deidentified imaging data (JPEG, VOL, DICOM), and their derived quantitative measurements (CSV) will be preserved and shared. The rationale is to maximize the value and reproducibility of the trial for future research on preeclampsia, maternal-fetal medicine, and neonatal development, as well as to comply with NIH and NICHD policies on broad data sharing."
Clinical data from human research participants-NIA,element_4a,"Provide the name of the repository(ies) where scientific data and metadata arising from the project will 
be archived; see Selecting a Data Repository).
Data and metadata will be deposited with [Repository Name Here]. ","2. **Scientific data that will be preserved and shared, and the rationale for doing so:**","De-identified clinical data (demographics, medical history, laboratory data, medications, physical and cognitive exam results) and the derived cognitive risk scores will be preserved and shared. Data will be shared to promote reproducibility, enable secondary analyses, and support further research in aging and cognitive health. Direct identifiers and protected health information (PHI) will not be preserved or shared."
"Survey, interview, and biological data (tiered access)",element_4a,"Public-access data and metadata will be accessible via [Repository Name Here]. Restricted use and 
high-security restricted-use data will be provided by encrypted download through the repository virtual 
data portal. Virtual enclave-restricted data are available only through the data portal Virtual Data 
Enclave","2. **Scientific data that will be preserved and shared, and the rationale for doing so:**","All individual-level, de-identified data collected via web-surveys, in-person interviews, and home health exams will be preserved and shared. This includes core survey responses, cognitive assessments, and measured biological variables. Data will be shared to facilitate reproducibility, enable secondary analyses, and maximize the scientific value of the cohort, in accordance with NIH and NIA data sharing policies and participant consent for broad data sharing."
Non-human data (primates),element_4a,"We will utilize the [Repository Name Here] for sharing which creates a permanent link to the resources 
and is both searchable and indexed.","2. **Scientific data that will be preserved and shared, and the rationale for doing so:**","The following data will be preserved and shared:  
   - De-identified processed behavioral and ANS reactivity data tables for all subjects and time points, as these represent the primary scientific outcomes.  
   - Summary activity data and cardiac physiological metrics (e.g., heart rate, variability indices) at all test points.  
   - Associated metadata, including timing, test conditions, and demographic variables (de-identified).  
   - Raw data (video, physiological signals) will be archived for reproducibility but shared only upon qualified request due to privacy, data size, and re-identification risk.  
   Rationale: Sharing processed data and metadata maximizes scientific value and reproducibility, while managing participant confidentiality and logistical constraints."
Secondary data analysis-NIA,element_4a,"Analysis codes and guidebooks generated by the analysis will be deposited in [Repository Name 
Here]. ","2. **Scientific data that will be preserved and shared, and the rationale for doing so:**","Scientific data that will be preserved and shared include the analytic code (e.g., scripts for data cleaning, variable construction, and statistical analyses), data dictionaries, and summary-level results derived from the secondary analyses, as permissible under the associated data use agreements. Raw HRS or HRS-linked Medicare data will not be shared, as these are subject to existing data sharing policies and restrictions by the original data providers. Sharing analytic code and derived, non-identifiable summary data will facilitate transparency, reproducibility, and reuse of the research approach without violating the original data use agreements."
Survey and interview data-NIA,element_4a,Data and metadata will be made available through [Repository Name Here]. ,"2. **Scientific data that will be preserved and shared, and the rationale for doing so:**","All de-identified accelerometer data, survey responses, and interview transcripts will be preserved and shared in accordance with NIH and NIA data sharing policies. Sharing these datasets will enable replication, secondary analyses, and further research into caregiver well-being and physical activity. Raw audio files will be preserved but shared only with appropriate protections due to the potential for re-identification."
Human clinical and genomic data-NIA,element_4a,"In accordance with the GDS policy, all human genomic data will be made available through an NIH_x0002_designated repository, NIAGADS and registered in dbGaP.","2. **Scientific data that will be preserved and shared, and the rationale for doing so:**","All raw and processed sequencing data (i.e., FASTQ, BAM/CRAM, and VCF files) generated from WGS, GWAS, and exome sequencing will be preserved and shared. Accompanying phenotypic data, including demographic information, clinical diagnoses, endophenotypes, and biomarker datasets, will also be preserved and shared. The rationale for sharing these data is to maximize the utility and reproducibility of the research, in accordance with NIH and NIA policies, and to enable secondary analyses by the scientific community for further discovery in Alzheimer’s disease genetics and health disparities."
Non-human data (rodents)-NIA,element_4a,"All electrophysiological, behavioral, and immunohistochemical data and associated metadata will be 
archived in Distributed Archives for Neurophysiology Data Integration (DANDI), a data sharing platform 
specialized for hosting data conforming to the NWB data standard.","2. **Scientific data that will be preserved and shared, and the rationale for doing so:**","All raw and processed electrophysiology data, behavioral videos and derived trajectory data, and confocal microscopy image stacks will be preserved and shared. Sharing these datasets will enable reproducibility, secondary analyses, and comparison with other hippocampal studies, thereby maximizing the scientific value and impact of the research."
Clinical data (human biospecimens),element_4a,"All clinical trial data with accompanying metadata will be stored at the National Centralized Repository 
for Alzheimer’s Disease and Related Dementias (NCRAD) and the Laboratory of Neuroimaging Image 
and Data Archive (LONI IDA). NCRAD is an NIH-funded repository that collects and maintains 
biological specimens and associated data on study volunteers from Alzheimer’s disease and related 
dementias studies. LONI IDA is an NIH-funded repository that collects neuroimaging and related clinical 
data","2. **Scientific data that will be preserved and shared, and the rationale for doing so:**","All de-identified individual-level demographic, clinical, and biomarker data described above will be preserved and shared. The rationale is to maximize scientific utility and reproducibility, to support secondary analyses, facilitate meta-analyses, and enable cross-cohort comparisons in aging and Alzheimer’s disease research. Data sharing is consistent with NIH and NIA policies and the broad data sharing consent obtained from participants."
Drug discovery including intellectual property,element_4a,"Compound A analogs design, production, characterization, and purification protocols will be deposited in 
PubChem (analogs and physicochemical characteristics) and at the AD Knowledge Portal. Data generated 
from Compound A analogs in vitro and in vivo cell-based assays, PK and toxicology assays, and preclinical 
PET imaging will be deposited at the AD Knowledge Portal. Codes for the quantitative data analysis of IHC 
images will be deposited at the AD Knowledge Portal.","2. **Scientific data that will be preserved and shared, and the rationale for doing so:**","All raw and processed scientific data underlying published results will be preserved and shared. This includes:  
   - Protocols for compound design, synthesis, and purification (to enable reproducibility)
   - Raw and analyzed assay data for all tested analogs (for transparency and secondary analysis)
   - Toxicology and pharmacokinetic datasets (to support safety and efficacy claims)
   - Raw and processed PET imaging files and associated quantitative analyses (to enable re-use and meta-analysis)
   Data that are not intended for preservation include internal communications, preliminary notes, and data unrelated to published results. The rationale for sharing is to maximize transparency, reproducibility, and re-use in accordance with NIH and NIA policies."
HeLa Cell Whole Genome Sequence (DNA or RNA),element_4a,All scientific data and metadata will be deposited to dbGaP.,"2. **Scientific data that will be preserved and shared, and the rationale for doing so:**","The raw HiFi long-read sequencing data (in FASTQ/BAM format), the assembled genome sequence (in FASTA format), and associated variant call files (VCF) will be preserved and shared. Sharing these data will enable reproducibility, facilitate methodological advancements in genome assembly and variant calling, and promote secondary analyses by the broader genomics community. Given the HeLa cell line’s status as a widely used research resource, sharing comprehensive, high-resolution sequencing datasets will maximize the scientific impact of this project."
Secondary Data Analysis on Data from Human Subjects-NIA,element_4a,"All secondary derived data, metadata, atlases, and pipelines will be returned to the BLSA and OASIS data 
systems for sharing through their established channels. All codes for the informatics framework and all 
analysis modules with image process routines and atlases will be stored in the NIH-supported 
Neuroimaging Informatics Tools and Resources Clearinghouse (NITRC) infrastructure and GitHub.","2. **Scientific data that will be preserved and shared, and the rationale for doing so:**","All derived analytic datasets, including voxelwise BOLD correlation maps, DTI template images, WM/GM connectivity atlases (NIFTI format), and summary statistics tables, will be preserved and shared. The rationale is to facilitate reproducibility, enable secondary use by other researchers, and provide normative data for future studies in aging and Alzheimer’s disease. Data directly obtained from BLSA and OASIS-3 will not be redistributed but can be accessed through the original repositories."
Analysis of social media posts,element_4a,"Public use study data and associated documentation will be made available to the 
research community through the data repository hosted at ICPSR. ICPSR is a CoreTrustSeal 
certified repository providing long-term access to, and preservation of data packages 
curated by domain specialists.","2. **Scientific data that will be preserved and shared, and the rationale for doing so:**","All de-identified, coded scientific data generated during the project will be preserved and shared, including:  
   - The processed and de-identified dataset of social media posts, comments, and associated coding (e.g., topic, sentiment, accuracy).  
   - The de-identified survey dataset, including group assignments and all recoded variables.  
   - The aggregated and de-identified user analytics and coded thematic results.  
   Sharing these datasets will support transparency, reproducibility, and enable secondary analyses relevant to cancer communication, social media research, and intervention science. Only de-identified data will be shared to protect participant confidentiality."
Clinical and MRI data from human research participants,element_4b,"Data will be findable for the research community through the NDA Collection that will be established when this application is funded. For all publications, an NDA study will be created. Each of those studies is assigned a digital object identifier (DOI). This data DOI will be referenced in the publication to allow the research community easy access to the exact data used in the publication.",,
Genomic data from human research participants,element_4b,"Data will be findable for the research community through the NDA collection that will be established when this 
application is funded. In addition, the dbGaP study, which will point to NDA, will help researchers find the data. 
For all publications, an NDA study will be created. Each of those studies is assigned a digital object identifier
(DOI). This data DOI will be referenced in the publication to allow the research community easy access to the 
exact data used in the publication.",,
Genomic data from a non-human source,element_4b,"Data will be findable for the research community through searches at NeMO. NeMO assigns unique identifiers 
for each sample.",,
Secondary data analysis,element_4b,"Data will be findable for the research community through the NDA collection that will be established when this 
application is funded. For all publications, an NDA study will be created, and the data relevant to that publication 
will be shared immediately. Each of those studies is assigned a digital object identifier (DOI). This data DOI will 
be referenced in the publication to allow the research community easy access to the exact data used in the 
publication.",,
Human clinical and genomics data,element_4b,"Clinical and laboratory data will be findable and identifiable using a DOI created by DASH. Genomic 
data will be findable and identifiable using a dbGaP study accession number and SRA sequence record 
accession numbers generated by NCBI.",,
Gene expression analysis data from non-human model organism (zebrafish),element_4b,"The expression matrices, cluster and bed files derived from processing bulk RNA-seq, scRNA-seq and 
ATAC-seq fastq data respectively will be findable and identifiable through GEO accession numbers. 
The raw sequence data will be findable and identifiable through accession numbers assigned by SRA 
for project, study, and experiment.
Data released through ZFIN will be assigned a ZFIN ID by the repository, which when appended to the 
ZFIN url can be used to find and identify the dataset",,
Human survey data,element_4b,"Datasets in DSDR will be findable and identifiable through a study digital object identifier (DOI) minted 
by ICPSR.",,
Clinical Data from Human Research Participants,element_4b,"We will submit metadata associated with the datasets to Vivli and the journal Renal Failure. The repository and 
journal will provide metadata, persistent identifiers, and long-term access for open and controlled access.",,
